freq[MHz],db:Trc1_S21,ang:Trc1_S21,db:Trc2_S31,ang:Trc2_S31,db:Trc3_S41,ang:Trc3_S41,db:Trc4_S11,ang:Trc4_S11,db:Mem5[Trc3]_S41,ang:Mem5[Trc3]_S41
93,-8.307739307263372E+000,-3.229547361078676E+000,-8.890083740102849E+000,-6.572121761463392E+001,-8.537440240557016E+000,-1.283655646855515E+002,-4.609458665558356E+000,1.720460077309588E+002,-7.622305606537725E+000,1.723547654548737E+002
94,-8.261908066507953E+000,-3.165192795508481E+000,-8.843146633281309E+000,-6.558166615366213E+001,-8.668411532483042E+000,-1.289338360835249E+002,-4.648980482279808E+000,1.719447906705654E+002,-7.772651427360474E+000,1.695446200901647E+002
95,-8.234497506727561E+000,-2.307114425511130E+000,-8.861518159149425E+000,-6.707884232356371E+001,-8.627169906902042E+000,-1.296557420251568E+002,-4.562519800989853E+000,1.720908217872727E+002,-7.614128920191876E+000,1.692574821465272E+002
96,-8.210842715007518E+000,-3.611737594115965E+000,-8.903114903250746E+000,-6.713266009771763E+001,-8.667724032744063E+000,-1.320494171114882E+002,-4.534033034021719E+000,1.717422877263121E+002,-7.687950361635129E+000,1.660710337510240E+002
97,-8.179557382196848E+000,-3.754066070548728E+000,-8.872610940469620E+000,-6.792794227355131E+001,-8.606422371021468E+000,-1.334709275751209E+002,-4.589387202186239E+000,1.722430529589236E+002,-7.790800486222185E+000,1.632425628665640E+002
98,-8.260629432922253E+000,-4.795910153357222E+000,-8.796209305616120E+000,-6.848650292618757E+001,-8.508942548941716E+000,-1.349162092451805E+002,-4.576282604746492E+000,1.722560594082797E+002,-7.645307118461120E+000,1.612998429649826E+002
99,-8.258494014417218E+000,-3.612145416200614E+000,-8.871371472338598E+000,-6.881891357490289E+001,-8.571997037722380E+000,-1.357576407697268E+002,-4.656409966020727E+000,1.720282099394823E+002,-7.634172505333433E+000,1.593872840523219E+002
100,-8.175042002322051E+000,-4.875147600331546E+000,-8.794619546379959E+000,-7.088333603889207E+001,-8.468723301395841E+000,-1.372229900931100E+002,-4.609029665923785E+000,1.720115222201902E+002,-7.615515560358117E+000,1.571593496440796E+002
101,-8.230123079619476E+000,-2.649422912065657E+000,-8.790248234205656E+000,-7.123058081406887E+001,-8.638887308225604E+000,-1.389041761799362E+002,-4.680890246217072E+000,1.720464335861323E+002,-7.605143453097684E+000,1.547157189871272E+002
102,-8.276424371719369E+000,-3.733775723170650E+000,-8.620443649607084E+000,-7.148307577348489E+001,-8.666597831619011E+000,-1.396489157936277E+002,-4.603616026703640E+000,1.725077441032485E+002,-7.740127842005806E+000,1.535724454646140E+002
103,-8.291241835057239E+000,-5.602231973390175E+000,-8.757970538302814E+000,-7.338733025452264E+001,-8.683362760906201E+000,-1.419684785913891E+002,-4.718971150410606E+000,1.718356501269819E+002,-7.847220325406680E+000,1.507265299231186E+002
104,-8.209434925642690E+000,-4.934612032651699E+000,-8.810685792649609E+000,-7.322628006073336E+001,-8.635840893768288E+000,-1.422886759471559E+002,-4.697189708747543E+000,1.723940916204002E+002,-7.693400222631427E+000,1.487104997641496E+002
105,-8.247948095189573E+000,-5.473378018213188E+000,-8.772989596777528E+000,-7.392299436860731E+001,-8.765662997243528E+000,-1.447628448750723E+002,-4.577005849465903E+000,1.719127435905919E+002,-7.776965416468527E+000,1.460789528672796E+002
106,-8.186479259014412E+000,-5.941383761745019E+000,-8.708505213334158E+000,-7.514917370840607E+001,-8.663700922262553E+000,-1.452391772325047E+002,-4.504801542025580E+000,1.721683326219060E+002,-7.741926377196464E+000,1.451694048008089E+002
107,-8.154407569089543E+000,-5.313238515107821E+000,-8.659129619800387E+000,-7.573524551183334E+001,-8.799607416700212E+000,-1.461570630324716E+002,-4.529365390050152E+000,1.720707943636917E+002,-7.812732384569534E+000,1.432332671197706E+002
108,-8.282993863368315E+000,-5.625140221859247E+000,-8.627739535882215E+000,-7.691552928929005E+001,-8.726868959214118E+000,-1.482780022925092E+002,-4.627396255028394E+000,1.721026211877703E+002,-7.846169004350715E+000,1.402051795992956E+002
109,-8.373258560832731E+000,-6.621956930845474E+000,-8.666025298646613E+000,-7.755397764739712E+001,-8.786813559052257E+000,-1.502920913041916E+002,-4.469924580895261E+000,1.715840833316979E+002,-7.780945250207542E+000,1.389091619541853E+002
110,-8.293899542219553E+000,-6.216332898908206E+000,-8.726320308508498E+000,-7.891152796474944E+001,-8.878737889067141E+000,-1.507313294931283E+002,-4.496383925284732E+000,1.718111588240982E+002,-7.829119068486803E+000,1.375690191034087E+002
111,-8.248200607078411E+000,-6.795953524652489E+000,-8.745992098798466E+000,-7.886112802637769E+001,-8.881808301961671E+000,-1.525048675241951E+002,-4.456612313379297E+000,1.716598946085541E+002,-7.836675094072388E+000,1.347469336259781E+002
112,-8.152510688263481E+000,-5.715516903738028E+000,-8.800983811636501E+000,-8.068871361315588E+001,-8.914441705034189E+000,-1.535159019318898E+002,-4.480067863843550E+000,1.721348843873935E+002,-7.792993930393294E+000,1.318746169704341E+002
113,-8.345945852182661E+000,-6.007976069922528E+000,-8.568856259939629E+000,-7.962211302665364E+001,-8.848689512589020E+000,-1.548925774885309E+002,-4.491158647334309E+000,1.718965289620613E+002,-7.825531982625816E+000,1.296505698371718E+002
114,-8.344204105831095E+000,-5.639296586445054E+000,-8.697477295770854E+000,-8.043594689039672E+001,-8.916442863526218E+000,-1.552423489997487E+002,-4.563184713911181E+000,1.719434575201310E+002,-7.854802201024568E+000,1.283667835794194E+002
115,-8.351290973362202E+000,-6.753773356948532E+000,-8.643804122013252E+000,-8.200370087781424E+001,-8.849861570217845E+000,-1.576737524309228E+002,-4.534140081774669E+000,1.712149546581504E+002,-7.724135123497484E+000,1.255416136670667E+002
116,-8.379701703386880E+000,-5.534631424078621E+000,-8.610990824789662E+000,-8.220471196811307E+001,-8.968422438843836E+000,-1.580012459129382E+002,-4.563117076393638E+000,1.719534564771981E+002,-7.777311097884271E+000,1.241463486486263E+002
117,-8.533717706771231E+000,-6.599904363188789E+000,-8.710566432693394E+000,-8.253975964379552E+001,-8.854415070886040E+000,-1.599534683387986E+002,-4.501022727962057E+000,1.717414297343860E+002,-7.714272191587437E+000,1.215572878423670E+002
118,-8.394108841273511E+000,-6.873011756236624E+000,-8.637731494047282E+000,-8.404253018894393E+001,-8.904885621608479E+000,-1.607808414022800E+002,-4.478517433920158E+000,1.712675394432241E+002,-7.836503648456045E+000,1.205522399516144E+002
119,-8.490481872661848E+000,-6.534795969572887E+000,-8.627056765378317E+000,-8.435244828221920E+001,-8.936094851403363E+000,-1.631103095590791E+002,-4.461564600083384E+000,1.714807159331308E+002,-7.827352771950307E+000,1.168954939665606E+002
120,-8.417659685434204E+000,-6.967530075985478E+000,-8.696174329374820E+000,-8.598049695740070E+001,-8.984459625818330E+000,-1.631683936061442E+002,-4.438741753888201E+000,1.716461901228031E+002,-7.826233571450457E+000,1.160372245541628E+002
121,-8.513913845896340E+000,-5.843482539006940E+000,-8.739944496980813E+000,-8.617144636676180E+001,-9.100462258133662E+000,-1.644898200472795E+002,-4.487895033640366E+000,1.716801150876327E+002,-7.855565222452017E+000,1.141857216297647E+002
122,-8.406534997810615E+000,-5.723934921308035E+000,-8.506038290619225E+000,-8.714302909095405E+001,-8.875681023781198E+000,-1.661309834367186E+002,-4.383121211570751E+000,1.714649943720899E+002,-7.804911397576487E+000,1.118077624503627E+002
123,-8.433228643151603E+000,-6.423938300389455E+000,-8.523209842095394E+000,-8.773962277268593E+001,-9.033085311900612E+000,-1.670706492918068E+002,-4.498013972339898E+000,1.710265164386190E+002,-7.859772544421852E+000,1.097474114160017E+002
124,-8.489251861822941E+000,-6.875524026616149E+000,-8.572389567466670E+000,-8.858174904292036E+001,-9.000227061596917E+000,-1.684247801673736E+002,-4.460698571105707E+000,1.709192915853875E+002,-7.863146169552799E+000,1.075584067028626E+002
125,-8.521987807218396E+000,-6.337167917890193E+000,-8.481243441364676E+000,-8.969367271724502E+001,-8.886234066713003E+000,-1.699438596597249E+002,-4.421842422446830E+000,1.711634239358517E+002,-7.787982370850680E+000,1.055069363303952E+002
126,-8.313441064869574E+000,-6.216815814195797E+000,-8.684410679400282E+000,-9.072548357956836E+001,-9.074387935271476E+000,-1.713055980376924E+002,-4.422632783297258E+000,1.705396708785358E+002,-7.847117317359402E+000,1.025866231244645E+002
127,-8.415810169075844E+000,-6.867752473022017E+000,-8.583714091439008E+000,-9.103411271330860E+001,-9.141740335744299E+000,-1.721089168018878E+002,-4.493341099581185E+000,1.708450146905611E+002,-7.957784614951454E+000,1.011000044266973E+002
128,-8.547708044788998E+000,-6.855612210375115E+000,-8.696557960456971E+000,-9.182718626467724E+001,-9.005113119238109E+000,-1.734238880466214E+002,-4.468445371376395E+000,1.706847242838140E+002,-7.839190333199831E+000,9.934043267408401E+001
129,-8.426420015546894E+000,-6.238015373080614E+000,-8.562708656184233E+000,-9.153672427024779E+001,-9.091840368201249E+000,-1.741757309568437E+002,-4.496216863655400E+000,1.705518825832994E+002,-7.907163483675338E+000,9.689669742603159E+001
130,-8.364370706790501E+000,-6.245790153288033E+000,-8.656223634049358E+000,-9.393390594928390E+001,-9.067932871038620E+000,-1.761995639502963E+002,-4.421394256225051E+000,1.701024384662564E+002,-7.857359368489722E+000,9.545504232126504E+001
131,-8.366077926827247E+000,-6.338430833033007E+000,-8.521934398578919E+000,-9.500181106629593E+001,-9.038495498867206E+000,-1.770655034711785E+002,-4.372648416393077E+000,1.702211172371745E+002,-7.907554312154752E+000,9.391506691807473E+001
132,-8.396912804517569E+000,-6.185905151832193E+000,-8.599228689939237E+000,-9.505073504300761E+001,-8.963464692771305E+000,-1.785536034727551E+002,-4.346451048344720E+000,1.698654766895774E+002,-7.790024711606153E+000,9.063838839950817E+001
133,-8.434898837874446E+000,-6.554686482646232E+000,-8.509431880534123E+000,-9.558847373469287E+001,-9.053329342790612E+000,-1.798397125790129E+002,-4.439117560632720E+000,1.692840154776939E+002,-7.942894256232519E+000,8.905684044355044E+001
134,-8.360682741957074E+000,-6.737076664555271E+000,-8.505524889133705E+000,-9.678527733984917E+001,-8.997547003412336E+000,1.794653476306529E+002,-4.406530919038679E+000,1.698812194245446E+002,-7.884113886563493E+000,8.704344779627390E+001
135,-8.453622077625965E+000,-6.586778977117278E+000,-8.591409708715796E+000,-9.731223785059260E+001,-9.049331932203282E+000,1.781866781157552E+002,-4.444896576759537E+000,1.697057498912957E+002,-7.920448164000172E+000,8.515447885405231E+001
136,-8.437661938849141E+000,-6.399419887245093E+000,-8.589471222544539E+000,-9.760127732143756E+001,-9.016397894894332E+000,1.769195158088151E+002,-4.431881606012525E+000,1.695511688683104E+002,-7.855230450568629E+000,8.283253494529892E+001
137,-8.449202090461730E+000,-5.976809585150795E+000,-8.656916887944325E+000,-9.892372138795773E+001,-9.025134841971838E+000,1.750750777941246E+002,-4.465411603332384E+000,1.691367673140992E+002,-7.858218530562889E+000,8.085960822496098E+001
138,-8.462718970576859E+000,-6.148922200352861E+000,-8.652424465110817E+000,-9.993006914898562E+001,-8.994666804963915E+000,1.741875149666014E+002,-4.473412959319171E+000,1.694529611210476E+002,-7.879431511610802E+000,7.922760804317166E+001
139,-8.418288834478421E+000,-6.437676866554015E+000,-8.569450002281997E+000,-1.000265415765606E+002,-8.940707233383940E+000,1.738004851116810E+002,-4.477005562475694E+000,1.695592117413791E+002,-7.848408488896444E+000,7.748396305353900E+001
140,-8.348056592427788E+000,-6.578155158855431E+000,-8.426303783040178E+000,-1.011697133178159E+002,-8.998183706777420E+000,1.723147721177598E+002,-4.473272640194275E+000,1.691131629467637E+002,-7.976175394072788E+000,7.485700127128798E+001
141,-8.352120465829652E+000,-6.364928257759417E+000,-8.663071741381629E+000,-1.016327630769866E+002,-8.979741197133167E+000,1.705318614121164E+002,-4.427222630864374E+000,1.690030502836391E+002,-7.929753144518116E+000,7.230305992473460E+001
142,-8.212587540605595E+000,-6.187030487567648E+000,-8.527653898349088E+000,-1.028426859193733E+002,-9.065762928449759E+000,1.690308575786153E+002,-4.505255587272527E+000,1.685884060306194E+002,-7.987497930292331E+000,7.054759924437789E+001
143,-8.373445253386887E+000,-6.451163447019786E+000,-8.592284658024177E+000,-1.035762341265422E+002,-8.961339864956660E+000,1.683178065025106E+002,-4.558140424233229E+000,1.688221771110180E+002,-7.936881703937811E+000,6.900452761896285E+001
144,-8.377349837587154E+000,-6.310876094225406E+000,-8.668452042380604E+000,-1.036518819422670E+002,-9.007760698997986E+000,1.670223565139255E+002,-4.541358040044397E+000,1.685544913879282E+002,-7.919224896119338E+000,6.652687946563603E+001
145,-8.373225468665142E+000,-6.135284929172681E+000,-8.513237460011787E+000,-1.050738107249716E+002,-8.928518566703513E+000,1.653603870925707E+002,-4.511159632067272E+000,1.690641164359923E+002,-7.878198985574533E+000,6.438177471563375E+001
146,-8.395490790860324E+000,-5.683054714719207E+000,-8.536669576949032E+000,-1.051883831709362E+002,-8.983231527245829E+000,1.647273850260939E+002,-4.578472565095564E+000,1.685815862901328E+002,-7.953002387031764E+000,6.241114178055150E+001
147,-8.301085637848670E+000,-6.402210577737523E+000,-8.559495764015676E+000,-1.062876645813894E+002,-8.919200972217423E+000,1.632698596838378E+002,-4.593089973284204E+000,1.682980520731996E+002,-7.943936199833134E+000,6.091161628560125E+001
148,-8.316998701581017E+000,-6.664079701502603E+000,-8.615504237712118E+000,-1.064354068281949E+002,-8.978180057223666E+000,1.620955163014166E+002,-4.610945868748756E+000,1.678647313744333E+002,-7.997194257982694E+000,5.822556348789652E+001
149,-8.173756291726717E+000,-6.074641813428585E+000,-8.544711259143494E+000,-1.077451395435842E+002,-8.854258229111412E+000,1.604750063127131E+002,-4.529747208312794E+000,1.680719929068227E+002,-7.951959376783143E+000,5.613758000556641E+001
150,-8.214786901564473E+000,-6.373672752094017E+000,-8.627541222682053E+000,-1.084482214900420E+002,-8.909653075351175E+000,1.597571342776118E+002,-4.583110437799791E+000,1.682607282513923E+002,-7.916060734806103E+000,5.441128076077394E+001
151,-8.128580060098981E+000,-7.008368827896605E+000,-8.625514064450387E+000,-1.089398593153459E+002,-9.029073390420429E+000,1.589582005749923E+002,-4.643735428603610E+000,1.684754219405830E+002,-7.990946654831712E+000,5.237219197857291E+001
152,-8.224811542728807E+000,-6.522880519512706E+000,-8.608369476742979E+000,-1.100534611323791E+002,-8.986365738814737E+000,1.569411734812557E+002,-4.733823499582361E+000,1.681672669111993E+002,-8.001055299213000E+000,5.009967542080992E+001
153,-8.137227368106339E+000,-6.798606310047483E+000,-8.661576708950882E+000,-1.116710882556070E+002,-8.948008680043570E+000,1.554085031627761E+002,-4.656714231593601E+000,1.683949321727382E+002,-8.062481440083305E+000,4.829754181367813E+001
154,-8.070701571322843E+000,-6.433917725451819E+000,-8.610885952440858E+000,-1.120037505990123E+002,-8.905259919535402E+000,1.545090965917343E+002,-4.627963257810769E+000,1.680981719342277E+002,-8.062224683182246E+000,4.654242025500352E+001
155,-8.019045359325329E+000,-7.167328446579182E+000,-8.557172189826249E+000,-1.126645990333223E+002,-9.038541008989792E+000,1.529566328430557E+002,-4.718826017291763E+000,1.681520422696852E+002,-8.239350132281675E+000,4.422610155404203E+001
156,-8.086702947626661E+000,-6.657438801464840E+000,-8.760652921600228E+000,-1.132931307884107E+002,-8.828570622785684E+000,1.512714382446511E+002,-4.679750843938436E+000,1.674801083232560E+002,-7.886993322204236E+000,4.165705131770383E+001
157,-8.124881640867164E+000,-7.452138274575618E+000,-8.752981989341409E+000,-1.138944893836347E+002,-8.848824172147396E+000,1.504909874658071E+002,-4.709145646118394E+000,1.675463610339340E+002,-7.921829863110451E+000,3.960266297257198E+001
158,-7.982608982459294E+000,-7.063251404175997E+000,-8.686391450139452E+000,-1.147381306646971E+002,-8.866186131919330E+000,1.488480969259068E+002,-4.728115694528849E+000,1.672357953561640E+002,-7.992275984478280E+000,3.787894116649483E+001
159,-8.005714747512718E+000,-7.460847860582761E+000,-8.495434974144853E+000,-1.154956272683963E+002,-8.833148405365108E+000,1.481628919593908E+002,-4.744255541982756E+000,1.680052400415571E+002,-8.013043183471455E+000,3.599991287257437E+001
160,-8.082096354399331E+000,-8.293567170502566E+000,-8.644782892273904E+000,-1.165873328114600E+002,-8.794080409009444E+000,1.462435402480780E+002,-4.724671596473384E+000,1.668414541363160E+002,-8.007266401917791E+000,3.316128423169765E+001
161,-8.085313691905686E+000,-7.678684531407778E+000,-8.666439161521153E+000,-1.165104973110341E+002,-8.805251766633711E+000,1.445904651810952E+002,-4.855454684617470E+000,1.676349821633001E+002,-8.029017887588760E+000,3.077218161491339E+001
162,-7.959929700783734E+000,-7.744667074018865E+000,-8.603257113700792E+000,-1.181284797909124E+002,-8.871789861916884E+000,1.436884986962652E+002,-4.859431051998985E+000,1.682075817004305E+002,-8.015926749657512E+000,2.972468821410208E+001
163,-7.956475120888679E+000,-8.144644455424960E+000,-8.742518680113079E+000,-1.189629345182118E+002,-8.821578502277619E+000,1.423791709607057E+002,-4.811846726820273E+000,1.674068628591186E+002,-8.013866738182538E+000,2.720668685795756E+001
